D:\vkr_folder\venv\Scripts\python.exe D:\vkr_folder\classifiers\optimize\optimize.py
[I 2023-04-16 08:15:00,342] A new study created in memory with name: Test study
[I 2023-04-16 08:15:06,109] Trial 0 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 30157, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'n_estimators': 1970, 'max_depth': 1.9002577048933749}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:11,202] Trial 1 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 25693, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1948, 'max_depth': 21.608146517618014}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:12,942] Trial 2 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 28905, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'n_estimators': 697, 'max_depth': 14.14331936314462}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:13,608] Trial 3 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 33568, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 135, 'max_depth': 87.41826463950176}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:17,099] Trial 4 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 34043, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1514, 'max_depth': 576.0252377474877}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:18,868] Trial 5 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 39789, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'n_estimators': 717, 'max_depth': 265.8854784444169}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:20,868] Trial 6 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 25581, 'min_samples_leaf': 2, 'max_features': 'log2', 'n_estimators': 739, 'max_depth': 7.280608265329591}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:23,213] Trial 7 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 34729, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'n_estimators': 944, 'max_depth': 13.831190685005739}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:25,455] Trial 8 finished with value: 0.5026593445370737 and parameters: {'criterion': 'log_loss', 'min_samples_split': 15840, 'min_samples_leaf': 2, 'max_features': 'log2', 'n_estimators': 953, 'max_depth': 1641.8189428288229}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:29,377] Trial 9 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 10408, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'n_estimators': 1748, 'max_depth': 122.02190282848281}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:32,769] Trial 10 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 47698, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'n_estimators': 1396, 'max_depth': 1.07917525206932}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:15:40,051] Trial 11 finished with value: 0.6140441848302111 and parameters: {'criterion': 'entropy', 'min_samples_split': 602, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1982, 'max_depth': 1.601524751407913}. Best is trial 11 with value: 0.6140441848302111.
[I 2023-04-16 08:15:47,398] Trial 12 finished with value: 0.6104713069560231 and parameters: {'criterion': 'entropy', 'min_samples_split': 124, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1997, 'max_depth': 1.0680760133722995}. Best is trial 11 with value: 0.6140441848302111.
[I 2023-04-16 08:15:54,928] Trial 13 finished with value: 0.6061848680189292 and parameters: {'criterion': 'entropy', 'min_samples_split': 379, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1453, 'max_depth': 2.5621816446780072}. Best is trial 11 with value: 0.6140441848302111.
[I 2023-04-16 08:16:06,651] Trial 14 finished with value: 0.5992782157192637 and parameters: {'criterion': 'entropy', 'min_samples_split': 381, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1671, 'max_depth': 3.6748290993626136}. Best is trial 11 with value: 0.6140441848302111.
[I 2023-04-16 08:16:09,582] Trial 15 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 9205, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 1270, 'max_depth': 1.1416422858348159}. Best is trial 11 with value: 0.6140441848302111.
